,channelTitle,2020-08-11 00:00:00,2020-08-12 00:00:00,2020-08-13 00:00:00,2020-08-14 00:00:00,2020-08-15 00:00:00,2020-08-16 00:00:00,2020-08-17 00:00:00,2020-08-18 00:00:00,2020-08-19 00:00:00,2020-08-20 00:00:00,2020-08-21 00:00:00,2020-08-22 00:00:00,2020-08-23 00:00:00,2020-08-24 00:00:00,2020-08-25 00:00:00,2020-08-26 00:00:00,2020-08-27 00:00:00,2020-08-28 00:00:00,2020-08-29 00:00:00,2020-08-30 00:00:00,2020-08-31 00:00:00,2020-09-01 00:00:00,2020-09-02 00:00:00,2020-09-03 00:00:00,2020-09-04 00:00:00,2020-09-05 00:00:00,2020-09-06 00:00:00,2020-09-07 00:00:00,2020-09-08 00:00:00,2020-09-09 00:00:00,2020-09-10 00:00:00,2020-09-11 00:00:00,2020-09-12 00:00:00,2020-09-13 00:00:00,2020-09-14 00:00:00,2020-09-15 00:00:00,2020-09-16 00:00:00,2020-09-17 00:00:00,2020-09-18 00:00:00,2020-09-19 00:00:00,2020-09-20 00:00:00,2020-09-21 00:00:00,2020-09-22 00:00:00,2020-09-23 00:00:00,2020-09-24 00:00:00,2020-09-25 00:00:00,2020-09-26 00:00:00,2020-09-27 00:00:00,2020-09-28 00:00:00,2020-09-29 00:00:00,2020-09-30 00:00:00,2020-10-01 00:00:00,2020-10-02 00:00:00,2020-10-03 00:00:00,2020-10-04 00:00:00,2020-10-05 00:00:00,2020-10-06 00:00:00,2020-10-07 00:00:00,2020-10-08 00:00:00,2020-10-09 00:00:00,2020-10-10 00:00:00,2020-10-11 00:00:00,2020-10-12 00:00:00,2020-10-13 00:00:00,2020-10-14 00:00:00,2020-10-15 00:00:00,channel_average,channel_std,trues
0,Mystic,65,57,63,54,64,70,37,59,77,52,55,66,77,70,57,69,100,89,79,76,56,57,76,68,64,66,69,88,57,58,77,77,81,58,83,75,74,65,62,79,81,58,57,71,64,61,49,56,69,54,73,72,65,67,68,53,64,62,68,63,83,55,56,72,71,51,66.5,10.927100033930099,5
1,SuperSaf,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,82,0,0,85,0,0,0,0,83,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,87,11.681818181818182,29.4675780183912,9
2,euphoria,79,91,83,77,79,79,100,82,81,76,61,55,69,95,85,76,84,76,72,56,91,86,54,56,79,68,58,59,67,53,56,51,53,46,46,65,61,51,72,49,76,92,85,54,81,60,57,62,76,68,58,66,56,51,55,66,49,67,67,42,58,45,44,51,45,52,66.06060606060606,14.492295537136993,5
3,Ar'mon And Trey,47,94,73,71,31,46,43,63,96,81,26,36,77,80,92,92,91,71,85,42,100,71,71,77,71,53,86,64,51,63,73,50,52,62,50,57,39,28,61,63,43,56,51,67,49,60,75,85,66,67,77,62,38,53,74,90,51,50,88,49,73,68,87,45,61,95,64.53030303030303,18.152735578944615,6
4,Kurtis Conner,62,47,53,31,38,42,45,45,41,31,38,42,48,54,81,100,26,32,43,37,47,38,45,51,46,65,46,52,67,39,41,54,70,49,41,44,29,27,39,38,28,27,55,43,37,29,90,69,50,50,38,28,54,43,36,28,39,38,20,33,58,36,24,39,30,25,44.10606060606061,15.07770658940964,6
5,Simon and Martina,27,53,40,0,0,26,95,41,27,82,0,0,27,0,55,29,33,67,27,27,43,28,28,0,82,0,28,27,29,29,29,28,27,27,28,0,28,28,29,27,0,0,0,56,55,0,0,27,29,29,0,29,28,27,0,58,0,28,0,0,0,0,56,0,43,100,26.757575757575758,24.2306221271453,5
6,SPORTSNET,51,38,100,49,50,0,51,38,25,0,25,25,25,39,52,41,31,0,25,0,53,53,52,0,0,78,26,77,27,55,0,53,25,63,0,41,27,53,27,0,39,0,27,27,26,26,51,51,27,40,0,41,27,0,0,0,28,26,0,52,25,0,26,0,0,27,29.40909090909091,22.857249544713625,3
7,That's Amazing,26,52,64,100,25,0,0,52,0,27,25,51,0,0,26,0,32,32,0,26,0,0,27,0,53,39,40,53,42,28,0,0,51,51,0,42,27,41,0,0,0,28,84,28,27,27,39,26,27,27,27,0,0,0,52,28,28,54,0,53,0,0,26,28,0,0,24.863636363636363,22.920737179189185,3
8,LaLiga Santander,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,94,95,0,0,0,0,0,0,0,0,100,97,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,10.212121212121213,29.65688389172277,7
9,C-SPAN,10,0,0,0,0,0,10,10,20,10,20,20,0,42,36,72,37,44,15,20,0,0,21,16,10,10,0,10,0,0,0,0,0,0,0,0,11,21,0,0,21,11,0,11,10,0,0,0,0,54,100,22,0,10,10,11,0,16,53,10,10,0,26,0,0,32,13.212121212121213,18.781450513185796,6
10,Paul's Hardware,0,0,0,0,0,0,0,0,0,0,47,47,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,50,0,0,50,0,50,0,50,0,0,0,0,0,0,0,48,47,0,100,0,0,50,0,0,0,0,0,49,0,0,0,0,0,0,0,9.666666666666666,21.37850331619134,12
11,Popcorned Planet,0,47,46,0,0,0,0,47,47,0,0,0,0,0,0,0,58,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,49,0,0,0,0,0,0,0,0,46,0,51,0,0,48,47,46,48,0,0,100,11.757575757575758,22.577852251816754,15
12,Morgan Adams,49,0,14,27,14,21,36,14,14,36,28,35,28,43,29,38,52,43,14,42,45,30,29,15,65,100,65,36,15,38,30,15,28,28,37,23,44,15,30,21,14,30,15,53,22,15,14,42,22,15,22,23,30,42,14,15,0,22,0,0,69,42,22,30,15,22,28.727272727272727,17.462987226274137,4
13,Chris Stuckmann,36,36,48,31,36,20,41,36,37,37,28,59,44,41,45,39,35,100,53,41,51,42,25,42,62,29,37,37,52,35,30,42,56,32,13,30,34,34,30,40,29,22,65,19,29,21,24,28,34,39,13,22,30,36,36,30,65,42,21,21,60,24,37,22,26,34,36.74242424242424,14.103847106869734,6
14,LMG Clips,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,96,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.424242424242424,20.278411125120535,3
15,Real Engineering,32,62,0,0,0,0,0,0,32,0,31,0,31,32,0,0,39,39,32,32,0,100,0,33,0,0,0,0,34,0,0,66,0,0,50,0,66,33,33,0,32,34,34,34,33,33,31,0,33,34,33,34,0,32,0,34,0,0,0,32,95,63,32,67,0,34,23.196969696969695,24.319975389347654,7
16,Jimmy Kimmel Live,25,25,37,37,25,25,26,76,25,26,38,24,25,51,0,27,31,62,25,42,27,39,26,53,52,26,26,38,27,41,27,53,25,25,27,27,27,27,27,25,0,36,100,67,52,26,51,25,27,40,26,41,26,51,50,41,36,79,44,39,25,25,43,27,40,36,35.60606060606061,16.256354270811926,5
17,EverythingApplePro,16,16,23,76,15,15,16,16,48,24,15,15,31,48,48,43,19,19,32,32,25,33,16,66,49,40,48,16,43,34,33,0,39,31,25,93,41,74,33,39,64,42,26,34,57,90,47,16,16,17,0,34,16,16,31,17,34,41,25,24,39,15,16,84,100,84,35.303030303030305,22.247212761731486,7
18,lil loaded music,0,73,48,0,0,48,0,49,0,0,48,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,50,52,0,0,0,49,0,0,0,0,0,0,49,0,0,53,52,50,51,0,0,0,52,0,0,0,0,49,0,0,51,0,100,49,0,50,52,52,52,19.363636363636363,27.80758364167913,3
19,Tae AND Lou,95,39,48,38,53,28,54,49,34,82,58,43,43,35,35,58,36,36,78,44,56,35,61,46,37,59,37,29,31,63,47,46,24,43,39,37,39,31,36,53,49,70,100,83,55,55,39,34,56,31,25,57,30,44,80,47,42,46,41,40,44,48,30,54,57,31,47.31818181818182,16.036094789198344,6
20,JayzTwoCents,47,23,54,45,23,15,24,31,55,16,31,31,38,40,48,17,29,58,47,39,49,49,49,57,40,79,32,16,34,25,42,49,70,62,58,100,74,66,17,39,32,67,51,74,96,72,78,31,41,83,33,67,33,39,23,42,84,97,41,81,31,62,80,58,58,74,49.18181818181818,21.522299282167427,5
21,Apple,20,21,28,44,30,26,24,24,27,23,25,25,38,39,26,26,24,27,26,25,24,27,26,20,21,22,21,22,24,21,24,25,23,25,30,78,47,35,36,33,34,31,31,28,30,31,28,28,32,27,27,27,25,23,24,28,26,26,25,26,23,22,28,100,54,33,29.53030303030303,12.335241085420478,3
22,JablinskiGames,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,3.0303030303030303,17.141982574219334,2
23,KAROL G,57,56,60,94,100,89,79,71,89,84,83,86,82,77,70,79,72,92,80,74,64,67,56,62,68,77,63,72,75,53,58,64,65,68,49,65,56,65,55,64,66,53,56,63,56,54,61,56,50,55,56,61,48,55,44,57,42,36,46,51,53,46,44,44,41,50,63.39393939393939,14.20401009092128,6
24,Yawi Vlogs,25,25,18,15,16,13,20,14,27,14,22,13,13,18,21,15,25,17,11,11,17,19,16,12,28,50,55,48,78,100,77,76,83,74,79,67,60,57,43,75,73,48,49,50,58,63,52,64,48,67,61,36,57,43,25,65,71,57,35,75,41,33,47,79,46,48,43.303030303030305,23.6860588692306,4
25,Tottenham Hotspur,0,0,0,31,63,31,0,0,0,0,31,0,31,0,0,0,39,0,32,0,0,0,0,0,33,32,0,0,0,0,34,0,32,32,34,35,0,67,85,64,65,68,0,0,33,33,0,64,34,0,100,68,34,80,32,69,0,34,33,0,48,0,33,0,34,34,24.272727272727273,26.73525957762886,8
26,carwow,41,33,40,24,48,16,49,41,49,17,49,40,16,50,59,44,40,21,58,33,61,26,34,60,100,25,34,41,71,62,35,78,49,16,70,53,35,52,61,41,50,44,71,35,85,68,41,16,26,52,17,71,26,33,33,79,0,43,51,51,41,41,68,52,17,43,44.333333333333336,19.031340446535005,4
27,Paris Hilton,2,2,1,2,1,4,2,7,7,6,3,2,4,3,4,4,2,3,3,3,2,3,4,5,4,4,3,5,4,4,7,5,6,6,50,100,97,66,64,61,67,34,46,39,39,34,33,37,30,19,21,25,19,20,18,21,19,16,13,18,11,12,12,9,10,6,18.075757575757574,22.391361027604,6
28,SUBWAY Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,5.2727272727272725,20.84542348912037,4
29,Brooklyn and Bailey,44,53,58,63,47,55,66,54,67,59,64,51,35,69,33,59,43,44,55,42,45,43,56,41,30,27,23,29,24,35,43,25,24,25,28,26,90,100,39,31,22,22,23,45,39,32,22,26,24,29,27,33,23,21,22,17,17,32,27,25,28,22,20,27,36,31,38.43939393939394,17.230284110883993,5
30,Ryan Shaw,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,54,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,51,0,0,0,0,53,0,0,0,0,0,0,6.878787878787879,20.690002820506827,7
31,Mark Rober,85,85,99,80,75,68,62,54,53,48,43,45,43,41,42,29,36,30,38,31,33,37,37,28,26,31,28,35,34,29,26,31,33,26,29,28,31,29,33,39,77,100,68,81,89,79,87,88,63,61,63,50,50,52,59,50,42,35,37,45,59,96,76,71,46,47,51.22727272727273,21.33129402270747,8
32,ZONEofTECH,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,100,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,7.242424242424242,25.32938203200087,5
33,TheOdd2sOut,37,25,49,24,24,48,25,25,25,25,49,0,24,0,64,54,46,62,100,25,39,0,39,26,0,25,26,25,40,67,53,52,49,37,26,26,26,0,92,25,0,27,27,26,26,26,50,50,0,0,78,80,52,0,37,80,54,26,26,0,25,37,77,0,27,26,34.25757575757576,23.561853226271953,6
34,Sky Sports Boxing,0,0,0,0,0,92,96,0,0,0,0,93,93,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,10.045454545454545,29.17628334181503,7
35,CNN,32,34,29,25,25,26,29,32,32,26,28,23,23,31,33,38,36,34,28,24,28,31,26,30,31,25,25,24,27,30,31,36,25,24,32,27,28,28,41,26,23,28,30,28,36,27,25,21,35,34,100,37,61,55,44,53,46,43,63,40,32,27,35,39,42,37,33.39393939393939,11.951770235153564,5
36,KGW News,0,14,29,14,29,14,15,22,22,30,0,14,29,15,0,16,0,0,15,29,39,0,45,30,0,15,0,15,31,71,86,100,72,51,46,39,46,15,23,15,15,16,24,0,23,23,15,15,0,15,15,16,38,15,15,0,16,30,0,15,15,0,0,15,16,0,21.181818181818183,20.374456000106495,4
37,NellyVidz,35,69,68,67,34,56,35,69,69,59,22,45,68,47,23,25,28,57,35,23,49,47,72,36,47,35,71,23,50,25,62,36,23,23,73,0,60,36,36,23,82,49,100,25,47,72,23,0,36,73,48,62,72,0,46,74,49,48,84,24,46,68,47,37,49,24,46.15151515151515,21.19336833400202,3
38,NBA on TNT,25,30,25,63,29,39,15,20,96,36,59,49,49,61,97,92,86,43,25,30,37,62,52,42,62,61,36,45,76,48,64,47,45,40,37,16,100,47,32,70,61,86,41,53,36,52,40,50,21,24,23,16,16,23,15,32,16,0,16,31,22,15,15,16,16,16,41.515151515151516,23.21392112651269,6
39,arcsystemworks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5151515151515151,12.21554204287659,1
40,tribbleofdoom,41,0,40,0,0,0,0,0,0,0,0,0,0,0,42,44,100,0,0,41,0,0,0,0,41,0,0,0,0,0,0,43,0,0,0,0,0,0,0,41,42,0,0,0,42,0,0,41,0,0,0,0,43,0,40,0,0,0,0,0,0,0,0,43,0,0,10.363636363636363,20.33480101283032,13
41,Roblox,96,100,94,93,90,93,97,95,95,84,90,96,89,89,92,91,75,73,89,91,90,87,90,84,93,87,92,93,87,84,79,79,91,91,79,80,75,79,77,88,86,77,75,79,79,77,89,83,79,78,80,76,74,83,85,77,76,77,75,78,86,82,83,71,77,72,84.4090909090909,7.3381057598845425,4
42,YongYea,42,36,54,40,31,46,16,42,37,32,56,46,66,55,48,51,64,58,26,47,33,43,49,49,32,42,37,42,56,28,44,87,57,31,39,56,76,71,83,36,40,100,73,72,48,38,39,26,55,55,49,56,49,47,52,34,45,27,65,32,70,36,32,28,44,88,48.24242424242424,16.561236784129935,5
43,David Blaine,1,1,3,2,2,2,2,5,18,17,12,12,13,8,7,8,7,7,6,8,12,20,100,66,24,24,12,12,6,8,6,5,5,5,5,4,2,5,5,4,4,3,2,3,2,4,3,3,2,3,2,2,2,2,1,2,2,2,3,2,4,3,2,2,2,2,8.106060606060606,14.561394359514358,2
44,Desmond Dennis,45,80,61,78,68,62,42,56,62,77,69,63,63,88,82,70,79,69,98,93,100,78,64,64,69,74,77,82,87,81,63,50,80,63,77,87,76,56,50,56,82,63,87,68,95,72,50,53,79,62,32,69,67,50,47,51,84,73,58,60,72,49,49,42,41,38,67.15151515151516,15.351677851486823,4
45,the Hacksmith,35,10,48,42,16,16,20,19,10,10,22,19,16,0,20,11,0,20,19,26,20,30,23,20,23,36,16,39,10,24,26,24,38,29,21,48,34,34,44,48,36,31,63,27,45,73,48,45,34,41,40,17,44,52,48,42,17,24,47,100,84,70,73,59,82,51,34.22727272727273,20.294644355880703,6
46,The Howard Stern Show,95,0,0,0,62,0,0,32,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,32,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,31,0,0,100,33,0,33,0,0,34,0,0,0,32,31,0,0,0,0,0,9.318181818181818,20.890159413718663,3
47,NPR,17,27,27,29,34,17,32,37,35,28,32,32,22,25,33,32,33,15,37,27,31,23,36,21,43,40,25,20,24,21,29,39,32,32,21,24,31,44,26,30,30,100,40,31,33,38,42,42,26,24,62,40,28,22,54,18,29,21,43,46,27,34,31,24,34,26,31.939393939393938,12.081639949738397,3
48,Steezy Kane,36,20,10,20,20,35,21,41,72,63,45,30,45,52,47,72,44,57,67,62,59,95,69,59,100,67,36,67,66,17,49,75,46,55,81,55,70,21,48,96,72,49,39,27,53,37,31,56,54,43,42,22,37,36,41,49,38,43,69,21,25,45,52,33,32,22,47.84848484848485,19.906023471090066,4
49,NBA on ESPN,47,47,0,45,46,0,47,47,47,96,47,46,0,47,48,51,58,58,0,47,0,49,48,0,96,47,0,0,51,50,0,0,92,0,0,50,49,50,50,47,48,100,51,0,48,0,48,0,0,0,0,50,0,47,0,0,0,49,0,48,0,0,48,50,50,0,32.42424242424242,28.451479487579192,4
50,Brad Sams,0,0,0,0,81,0,82,0,0,0,0,80,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,85,0,0,0,0,0,0,10.424242424242424,28.14252718835484,8
51,BioWare,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,97,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.909090909090909,23.267044760794754,4
52,wavywebsurf,0,0,0,45,45,0,0,47,0,0,69,0,46,94,0,0,0,0,47,0,0,49,97,0,0,0,47,47,0,0,0,96,0,46,0,100,49,49,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,48,0,0,46,0,50,0,0,19.151515151515152,30.466197077597037,6
